iter	Passed	Remaining
631	1948	980
632	1950	976
633	1952	973
634	1954	969
635	1957	966
636	1960	963
637	1962	959
638	1964	956
639	1966	952
640	1969	949
641	1972	946
642	1974	942
643	1977	939
644	1979	935
645	1981	932
646	1983	928
647	1985	925
648	1988	922
649	1991	918
650	1993	915
651	1995	911
652	1997	908
653	1999	904
654	2003	902
655	2006	899
656	2008	895
657	2010	892
658	2013	888
659	2015	885
660	2018	882
661	2020	879
662	2022	875
663	2024	872
664	2026	868
665	2028	864
666	2029	861
667	2031	857
668	2034	854
669	2036	851
670	2038	847
671	2040	843
672	2041	840
673	2043	836
674	2047	834
675	2049	830
676	2051	827
677	2053	823
678	2055	820
679	2057	817
680	2060	814
681	2063	810
682	2065	807
683	2066	803
684	2068	800
685	2070	796
686	2073	793
687	2076	790
688	2079	787
689	2082	784
690	2086	782
691	2088	778
692	2093	776
693	2095	772
694	2097	769
695	2099	766
696	2101	762
697	2104	759
698	2106	756
699	2108	753
700	2110	749
701	2112	746
702	2114	742
703	2116	739
704	2118	736
705	2121	733
706	2123	729
707	2125	726
708	2127	723
709	2129	719
710	2131	716
711	2133	713
712	2137	710
713	2139	707
714	2141	703
715	2143	700
716	2144	697
717	2146	693
718	2148	690
719	2152	687
720	2154	684
721	2156	680
722	2158	677
723	2160	674
724	2162	671
725	2164	667
726	2167	664
727	2169	661
728	2171	658
729	2173	655
730	2175	651
731	2177	648
732	2179	645
733	2182	642
734	2184	639
735	2186	635
736	2188	632
737	2190	629
738	2192	626
739	2194	622
740	2197	619
741	2199	616
742	2201	613
743	2203	610
744	2205	606
745	2207	603
746	2209	600
747	2211	597
748	2214	594
749	2216	591
750	2218	587
751	2221	584
752	2223	581
753	2226	578
754	2230	575
755	2237	574
756	2240	571
757	2256	571
758	2260	568
759	2262	565
760	2265	562
761	2267	559
762	2270	556
763	2272	553
764	2275	550
765	2278	547
766	2280	544
767	2283	541
768	2292	539
769	2294	536
770	2296	533
771	2298	529
772	2300	526
773	2302	523
774	2304	520
775	2307	517
776	2309	514
777	2311	511
778	2314	507
779	2317	505
780	2319	501
781	2321	498
782	2323	495
783	2326	492
784	2328	489
785	2330	486
786	2333	483
787	2335	480
788	2337	477
789	2339	473
790	2341	470
791	2342	467
792	2344	464
793	2346	461
794	2348	457
795	2350	454
796	2352	451
797	2354	448
798	2356	445
799	2357	442
800	2359	438
801	2362	436
802	2364	432
803	2367	429
804	2370	427
805	2373	424
806	2378	421
807	2381	418
808	2384	415
809	2386	412
810	2388	409
811	2393	406
812	2395	403
813	2397	400
814	2400	397
815	2403	394
816	2412	392
817	2417	390
818	2420	387
819	2424	384
820	2426	381
821	2428	378
822	2430	375
823	2433	372
824	2436	369
825	2438	366
826	2441	363
827	2443	360
828	2445	356
829	2448	354
830	2451	351
831	2453	347
832	2455	344
833	2457	341
834	2459	338
835	2461	335
836	2463	332
837	2466	329
838	2469	326
839	2471	323
840	2473	320
841	2476	317
842	2478	314
843	2481	311
844	2484	308
845	2486	305
846	2488	302
847	2490	299
848	2492	296
849	2495	293
850	2498	290
851	2500	287
852	2503	284
853	2505	281
854	2507	278
855	2510	275
856	2512	272
857	2515	269
858	2517	266
859	2519	263
860	2521	260
861	2523	257
862	2527	254
863	2529	251
864	2531	248
865	2534	245
866	2536	242
867	2539	239
868	2542	237
869	2545	234
870	2547	231
871	2549	228
872	2552	225
873	2556	222
874	2558	219
875	2561	216
876	2568	213
877	2573	211
878	2576	208
879	2579	205
880	2581	202
881	2585	199
882	2588	196
883	2591	193
884	2593	190
885	2596	187
886	2600	184
887	2603	181
888	2606	178
889	2608	175
890	2611	172
891	2613	169
892	2616	167
893	2619	164
894	2621	161
895	2623	158
896	2626	155
897	2629	152
898	2632	149
899	2635	146
900	2637	143
901	2640	140
902	2642	137
903	2646	134
904	2649	131
905	2652	128
906	2654	125
907	2657	122
908	2661	120
909	2664	117
910	2667	114
911	2670	111
912	2672	108
913	2675	105
914	2678	102
915	2680	99
916	2683	96
917	2685	93
918	2687	90
919	2691	87
920	2694	84
921	2697	81
922	2700	78
923	2702	76
924	2706	73
925	2710	70
926	2713	67
927	2716	64
928	2723	61
929	2726	58
930	2730	55
931	2734	52
932	2756	50
933	2759	47
934	2762	44
935	2766	41
936	2770	38
937	2773	35
938	2776	32
939	2780	29
940	2783	26
941	2786	23
942	2789	20
943	2791	17
944	2795	14
945	2799	11
946	2802	8
947	2808	5
948	2812	2
949	2815	0
